,MAE train,MAE test,MSE train,MSE test,RMSE train,RMSE test
Decision Tree,0.0,0.71569157683349,0.0,1.9769718568628887,0.0,1.4060483124213365
Random Forest ,0.23008797520772795,0.5630227660686218,0.17053951129621875,0.8406092390828966,0.4129642978469431,0.9168474459161113
