,DEP,Ainés,Enfants,Juniors,Masters,Séniors,%Ainés,%Enfants,%Juniors,%Masters,%Séniors
80,65,37405,45929,19006,77446,36365,17.31,21.25,8.79,35.83,16.82
81,43,29774,51071,18930,75952,39678,13.82,23.71,8.79,35.26,18.42
82,58,36054,40910,17603,75147,31973,17.88,20.28,8.73,37.26,15.85
83,32,32076,37840,13922,65544,30014,17.88,21.09,7.76,36.54,16.73
84,55,24275,43003,17362,62106,32541,13.54,23.99,9.68,34.64,18.15
85,46,30562,32985,12484,60890,26814,18.67,20.15,7.62,37.19,16.38
86,52,26402,37643,16627,59940,29452,15.52,22.13,9.78,35.25,17.32
87,04,24973,33961,13592,55925,25770,16.19,22.02,8.81,36.26,16.71
88,2B,24229,34160,17451,54628,31813,14.93,21.05,10.75,33.66,19.6
89,09,23586,30783,11863,52134,25250,16.42,21.43,8.26,36.3,17.58
90,15,23859,27042,11445,51075,23588,17.41,19.74,8.35,37.28,17.22
91,2A,21915,30318,15350,48468,28390,15.17,20.99,10.63,33.56,19.66
92,05,19252,30473,11714,46589,24486,14.53,23.0,8.84,35.16,18.48
93,90,16545,34626,17090,43171,26773,11.97,25.05,12.37,31.24,19.37
94,23,21690,21171,8961,42912,17408,19.34,18.88,7.99,38.27,15.52
95,48,10673,15155,6682,24718,12293,15.35,21.8,9.61,35.55,17.68
