,DEP,SumMG,Micro,Petite,Moyenne,Grande,Sum,%Petite,%Moyenne,%Grande,%SumMG
81,70,127,3505,620,111,16,747,83.0,14.86,2.14,17.0
82,43,124,4082,760,113,11,884,85.97,12.78,1.24,14.03
83,65,120,4543,707,108,12,827,85.49,13.06,1.45,14.51
84,58,114,3505,547,102,12,661,82.75,15.43,1.82,17.25
85,82,114,4299,729,101,13,843,86.48,11.98,1.54,13.52
86,52,113,2774,599,94,19,712,84.13,13.2,2.67,15.87
87,90,99,2022,383,79,20,482,79.46,16.39,4.15,20.54
88,55,87,2548,499,66,21,586,85.15,11.26,3.58,14.85
89,32,87,3557,533,78,9,620,85.97,12.58,1.45,14.03
90,46,75,3427,469,65,10,544,86.21,11.95,1.84,13.79
91,15,74,2825,464,68,6,538,86.25,12.64,1.12,13.75
92,2B,68,4645,633,64,4,701,90.3,9.13,0.57,9.7
93,2A,67,4450,611,61,6,678,90.12,9.0,0.88,9.88
94,05,64,3690,567,61,3,631,89.86,9.67,0.48,10.14
96,09,61,2673,410,56,5,471,87.05,11.89,1.06,12.95
97,04,57,3569,461,50,7,518,89.0,9.65,1.35,11.0
98,23,50,1980,279,46,4,329,84.8,13.98,1.22,15.2
99,48,39,1676,229,38,1,268,85.45,14.18,0.37,14.55
