,MAE Moyen,MAE Cadres,MAE Cadres Moyens,MAE Employes,MAE Travailleurs,MAE 18_25 ans,MAE 26-50 ans,MAE + 50 ans,MAPE Moyen,MAPE Cadres,MAPE Cadres Moyens,MAPE Employes,MAPE Travailleurs,MAPE 18_25 ans,MAPE 26-50 ans,MAPE + 50 ans
Decision Tree,0.2130208333333333,0.2586725117674837,0.10320374245386722,0.07530179065773807,0.1378107524713771,0.058976458428916745,0.1454949371878036,0.3023432397820361,0.016,0.011,0.0072,0.0072,0.0125,0.0062,0.0111,0.0196
Random Forest ,0.3338293431246626,0.4079867365592138,0.2072577943652992,0.13116219119023023,0.18529671522556637,0.10097625413964872,0.32270786470241597,0.4744844632054468,0.025,0.0174,0.0144,0.0126,0.0168,0.0106,0.0246,0.0308
