,DEP,indus,const,CTRH,InfoComm,FinAss,Immo,STServAdmi,ApESS,AutreServ,TOT
84,84,3318,8339,15456,1090,1527,2422,8135,6994,4629,51910
85,85,3710,5871,10994,716,1963,2034,5783,5166,3826,40063
86,86,1888,2998,6083,535,1121,1156,3605,3267,2350,23003
87,87,1683,2713,5621,448,880,840,2952,3245,2142,20524
88,88,2328,3399,6773,416,786,763,2710,2614,2124,21913
89,89,1591,2876,5633,383,567,872,2645,2423,1833,18823
90,90,482,1049,2017,157,192,273,1010,1068,738,6986
91,91,3537,12873,24896,4509,2412,2995,16477,10411,6638,84748
92,92,5128,11741,37161,15590,7795,7637,45981,18646,9787,159466
93,93,5466,28329,51927,6850,2316,2990,21774,10180,7611,137443
94,94,3683,12952,31280,7009,2863,3319,22758,12238,7429,103531
95,95,3813,13961,28848,4362,2075,2688,15909,9439,5926,87021
